stationName,administrationCompany,routeName,stationCode,year,passengers
光が丘,東京都,12号線大江戸線,3225,2022,52831
練馬春日町,東京都,12号線大江戸線,3243,2022,10394
豊島園,東京都,12号線大江戸線,3309,2022,9698
練馬,東京都,12号線大江戸線,3338,2022,69551
新江古田,東京都,12号線大江戸線,3367,2022,26088
落合南長崎,東京都,12号線大江戸線,3448,2022,24517
中井,東京都,12号線大江戸線,3503,2022,23955
春日,東京都,12号線大江戸線,3539,2022,52296
上野御徒町,東京都,12号線大江戸線,3543,2022,47215
本郷三丁目,東京都,12号線大江戸線,3546,2022,18389
東中野,東京都,12号線大江戸線,3549,2022,22842
新御徒町,東京都,12号線大江戸線,3556,2022,48246
蔵前,東京都,12号線大江戸線,3571,2022,29569
飯田橋,東京都,12号線大江戸線,3585,2022,24774
牛込神楽坂,東京都,12号線大江戸線,3602,2022,12431
牛込柳町,東京都,12号線大江戸線,3618,2022,18826
若松河田,東京都,12号線大江戸線,3623,2022,26565
東新宿,東京都,12号線大江戸線,3630,2022,31429
中野坂上,東京都,12号線大江戸線,3631,2022,34883
両国,東京都,12号線大江戸線,3646,2022,28397
新宿西口,東京都,12号線大江戸線,3669,2022,46745
都庁前,東京都,12号線大江戸線,3690,2022,39957
西新宿五丁目,東京都,12号線大江戸線,3696,2022,27336
森下,東京都,12号線大江戸線,3712,2022,55917
新宿,東京都,12号線大江戸線,3715,2022,108458
代々木,東京都,12号線大江戸線,3746,2022,27628
清澄白河,東京都,12号線大江戸線,3754,2022,34819
国立競技場,東京都,12号線大江戸線,3775,2022,8706
青山一丁目,東京都,12号線大江戸線,3813,2022,55950
門前仲町,東京都,12号線大江戸線,3818,2022,68596
築地市場,東京都,12号線大江戸線,3886,2022,19620
汐留,東京都,12号線大江戸線,3887,2022,27203
六本木,東京都,12号線大江戸線,3892,2022,70822
月島,東京都,12号線大江戸線,3893,2022,59007
勝どき,東京都,12号線大江戸線,3927,2022,74776
大門,東京都,12号線大江戸線,3939,2022,94195
麻布十番,東京都,12号線大江戸線,3941,2022,28082
赤羽橋,東京都,12号線大江戸線,3954,2022,29896
